dataset,model_type,past,coupling_layers,channels,hidden_multiplier,st_net_layers,encoder_layers,encoder_size,normalized,z_score,time_features,AUC_ROC,AUC_PR,Precision,Recall,F,Precision_at_k,Rprecision,Rrecall,RF,R_AUC_ROC,R_AUC_PR,VUS_ROC,VUS_PR,Affiliation_Precision,Affiliation_Recall,sliding_window,dataset_full,path
2-sine-one-channel-anomaly-noise-10%,tcNF-base,51,8,2,47,7,0,0,True,False,,0.9866548881036512,0.9371587122372182,0.5864197530864198,0.95,0.7251908396946565,0.95,0.0754716981132075,0.39,0.1264693960275638,0.9205862877547084,0.8245897590051113,0.9651049763266594,0.9011173602714336,1.0,0.9903688092729188,125.0,2-sine-one-channel-anomaly-noise-10%-no-anomaly,../results/TFselfopt-fsb/run-20241030_222344-15ibmcaa
2-sine-one-channel-anomaly-noise-10%,tcNF-cnn,49,18,2,10,4,5,4,True,False,,0.967326266195524,0.8830666840370726,0.6953125,0.89,0.7807017543859649,0.89,0.1129629629629629,0.378,0.1739438744719372,0.9464515720222146,0.8409585384715997,0.9709882393032168,0.8932623246314348,1.0,0.9702845100105374,125.0,2-sine-one-channel-anomaly-noise-10%-no-anomaly,../results/TFselfopt-fsb/run-20241031_065031-jh6mqday
2-sine-one-channel-anomaly-noise-10%,tcNF-mlp,1,20,2,31,3,4,0,True,False,,0.9598351001177856,0.9136696956219416,0.8,0.88,0.8380952380952381,0.88,0.2222222222222222,0.3173333333333333,0.2613948380010983,0.906675934196166,0.7687487913749694,0.9317739754530272,0.8303336797404919,1.0,0.9896311907270812,125.0,2-sine-one-channel-anomaly-noise-10%-no-anomaly,../results/TFselfopt-fsb/run-20241031_175944-m47kxmjn
2-sine-one-channel-anomaly-noise-10%,tcNF-stateless,9,10,2,50,7,6,0,True,False,,0.9719316843345112,0.8969042417350634,0.6796875,0.87,0.7631578947368421,0.87,0.142156862745098,0.3392,0.200348687533606,0.8810053805823711,0.7505027925261103,0.9419990258063938,0.836130065972012,1.0,0.9952792413066386,125.0,2-sine-one-channel-anomaly-noise-10%-no-anomaly,../results/TFselfopt-fsb/run-20241102_070615-n0je2vus
2-sine-one-channel-anomaly-noise-30%,RealNVP,1,13,2,37,8,0,0,True,False,,0.8164627363737486,0.5024782169176815,0.3155737704918033,0.77,0.4476744186046512,0.77,0.1159420289855072,0.2385,0.1560321386952344,0.8335119116257973,0.5021948385611401,0.8258742622666911,0.4905000873774698,0.7961004482743613,0.9967967967967968,125.0,2-sine-one-channel-anomaly-noise-30%-no-anomaly,../results/TFselfopt-fsb/run-20241030_212419-319ti507
2-sine-one-channel-anomaly-noise-30%,tcNF-base,38,9,2,49,8,0,0,True,False,,0.8233097762073027,0.400908451716523,0.2775800711743772,0.78,0.4094488188976378,0.78,0.093167701863354,0.2416,0.1344772308971086,0.8383632411988162,0.4876450858636426,0.8450060618981228,0.4628437136774538,0.7257346914881162,0.9720442571127504,125.0,2-sine-one-channel-anomaly-noise-30%-no-anomaly,../results/TFselfopt-fsb/run-20241030_231612-2wkefdh8
2-sine-one-channel-anomaly-noise-30%,tcNF-cnn,26,14,2,50,6,5,5,True,False,,0.8360070671378091,0.46382754067656,0.252365930599369,0.8,0.3836930455635491,0.8,0.0802139037433155,0.2426666666666667,0.1205723875982687,0.8433587306608205,0.5040568014687483,0.8445052219856624,0.4852201650074204,0.8896206533192835,0.978108535300316,125.0,2-sine-one-channel-anomaly-noise-30%-no-anomaly,../results/TFselfopt-fsb/run-20241031_075654-4a17a0aj
2-sine-one-channel-anomaly-noise-30%,tcNF-mlp,43,7,2,38,8,5,0,True,False,,0.7711778563015311,0.4147028464591585,0.2240802675585284,0.67,0.3358395989974937,0.67,0.0846560846560846,0.2335,0.1242609946533846,0.8162859729953483,0.4620893508840561,0.8013367526970298,0.4356524944590703,0.8319283456269758,0.990405690200211,125.0,2-sine-one-channel-anomaly-noise-30%-no-anomaly,../results/TFselfopt-fsb/run-20241031_191123-9k6ylstz
2-sine-one-channel-anomaly-noise-30%,tcNF-stateless,16,11,2,44,7,3,0,True,False,,0.8471849234393405,0.5357401636965934,0.2825278810408922,0.76,0.4119241192411924,0.76,0.089585666293393,0.2467692307692308,0.1314503588455478,0.8394787675825983,0.5424856533873467,0.8500717771864138,0.5505297754011709,0.9163781424055396,0.9901791359325608,125.0,2-sine-one-channel-anomaly-noise-30%-no-anomaly,../results/TFselfopt-fsb/run-20241102_062310-y0jyt2ue
2-sine-one-channel-anomaly-noise-50%,RealNVP,1,5,2,49,6,0,0,True,False,,0.6238820912124583,0.2079211917135651,0.1530343007915567,0.58,0.2421711899791231,0.58,0.100418410041841,0.2193333333333333,0.1377637811761216,0.7255287777120977,0.3063490036575549,0.6812051735273478,0.2509408509730867,0.7061394728061394,0.9819569569569572,125.0,2-sine-one-channel-anomaly-noise-50%-no-anomaly,../results/TFselfopt-fsb/run-20241030_223536-9e369rm3
2-sine-one-channel-anomaly-noise-50%,tcNF-base,33,9,2,25,8,0,0,True,False,,0.7381272084805653,0.2607659754969785,0.2302405498281786,0.67,0.3427109974424552,0.67,0.1019021739130434,0.2282105263157894,0.1408921784911539,0.8104365777890828,0.3915335183234726,0.7860751938960789,0.3206585838192926,0.6999849465602891,0.982312961011591,125.0,2-sine-one-channel-anomaly-noise-50%-no-anomaly,../results/TFselfopt-fsb/run-20241030_235503-xeoexwq7
2-sine-one-channel-anomaly-noise-50%,tcNF-cnn,34,8,2,24,7,5,7,True,False,,0.6761719670200235,0.2813497058005254,0.162907268170426,0.65,0.2605210420841683,0.65,0.0995475113122171,0.2236363636363636,0.1377695186212865,0.7599637410800486,0.4020503264782601,0.7324737451928995,0.336628449812698,0.8812434141201264,0.9813487881981032,125.0,2-sine-one-channel-anomaly-noise-50%-no-anomaly,../results/TFselfopt-fsb/run-20241031_085929-2aengl9x
2-sine-one-channel-anomaly-noise-50%,tcNF-mlp,51,13,2,48,8,5,0,True,False,,0.6949116607773851,0.2912218599077206,0.2053231939163498,0.54,0.2975206611570248,0.54,0.1292134831460674,0.2187826086956522,0.1624711517404414,0.7613059055480789,0.3782350236569314,0.7383626438480352,0.3302688586675482,1.0,0.9678925184404636,125.0,2-sine-one-channel-anomaly-noise-50%-no-anomaly,../results/TFselfopt-fsb/run-20241031_205354-2s53c1fg
2-sine-one-channel-anomaly-noise-50%,tcNF-stateless,23,20,2,37,6,1,0,True,False,,0.6838398115429918,0.2625811195511729,0.1466165413533834,0.78,0.2468354430379747,0.78,0.0699541284403669,0.239,0.1082298966623114,0.7635532496313621,0.3836007243576411,0.7363256543356481,0.316969148316319,0.8337431214143542,0.9687829293993676,125.0,2-sine-one-channel-anomaly-noise-50%-no-anomaly,../results/TFselfopt-fsb/run-20241102_073859-kvqwrtjp
2-sine-one-channel-frequency-anomaly,RealNVP,1,20,2,45,4,0,0,True,False,,0.4479271991911021,0.0093967080874579,0.0108459869848156,0.5,0.0212314225053078,0.5,0.0113378684807256,0.6000000000000001,0.0222551928783382,0.7616908599727794,0.2208999137816684,0.7190036589232475,0.1350389083256473,0.5308360308360308,0.953953953953954,259.0,2-sine-one-channel-frequency-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241030_234543-qy6cwnet
2-sine-one-channel-frequency-anomaly,tcNF-base,22,19,2,41,4,0,0,True,False,,0.7553780617678382,0.1663309582639146,0.0659340659340659,0.6,0.1188118811881188,0.6,0.0236842105263157,0.44,0.0449489216799091,0.8225874657180022,0.2857888180613744,0.8301959488724623,0.2479356293147685,0.8493150684931507,0.9894625922023182,209.0,2-sine-one-channel-frequency-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241031_010322-g6zjid6c
2-sine-one-channel-frequency-anomaly,tcNF-cnn,13,15,2,7,5,4,6,True,False,,0.709052183173589,0.0842632746884268,0.0197368421052631,0.6,0.0382165605095541,0.6,0.0026881720430107,0.6799999999999999,0.0053551740431564,0.7745780940885915,0.2613513092680163,0.8294314941191261,0.2567518423826678,0.6265446881885238,0.9959957850368808,209.0,2-sine-one-channel-frequency-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241031_111304-1wybcdgj
2-sine-one-channel-frequency-anomaly,tcNF-mlp,23,9,2,40,8,6,0,True,False,,0.7919062832800852,0.0944347271472997,0.0376344086021505,0.7,0.0714285714285714,0.7,0.0297872340425531,0.3866666666666666,0.0553133514986376,0.7728113340830699,0.255738149286544,0.8061179516792463,0.2332788322538918,0.5809799789251844,0.9986301369863017,209.0,2-sine-one-channel-frequency-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241031_214633-nsz3ca96
