id,name,dataset,model_type,past,coupling_layers,test.ROC_AUC,test.RANGE_PR_AUC,test.F1Score_PercentileThresholding(percentile=90),test.AVERAGE_PRECISION,test.FIXED_RANGE_PR_AUC,test.PR_AUC,train.ROC_AUC,train.RANGE_PR_AUC,train.F1Score_PercentileThresholding(percentile=90),train.AVERAGE_PRECISION,train.FIXED_RANGE_PR_AUC,train.PR_AUC
-,-,2-cbf-all-channel-middle-platform-anomaly,autoencoder,-1,-1,0.748997995991984,0.564176245210728,0.0196078431372549,0.5019880715705766,0.564176245210728,0.5014920437534157,0.7880761523046091,0.5466215910120504,0.0196078431372549,0.5023529411764706,0.5466215910120504,0.5017660932297447
-,-,2-cbf-all-channel-middle-platform-anomaly,cblof,-1,-1,1.0,0.7857142857142857,0.0392156862745098,1.0,0.7857142857142857,1.0,0.9749498997995992,0.1148989898989898,0.0392156862745098,0.0634615384615384,0.1148989898989898,0.0381410256410256
-,-,2-cbf-all-channel-middle-platform-anomaly,cof,-1,-1,1.0,0.875,0.0392156862745098,1.0,0.875,1.0,0.8276553106212424,0.0230358458591217,0.0196078431372549,0.1279154518950437,0.0230358458591217,0.0646887200995686
-,-,2-cbf-all-channel-middle-platform-anomaly,copod,-1,-1,0.6513026052104208,0.0278310886644219,0.0196078431372549,0.0088336783988957,0.0278310886644219,0.0048142954792571,0.7805611222444889,0.5145667989417989,0.0196078431372549,0.5022727272727273,0.5145667989417989,0.5017058397183682
-,-,2-cbf-all-channel-middle-platform-anomaly,dae,-1,-1,0.7855711422845691,0.6071428571428572,0.0196078431372549,0.5023255813953489,0.6071428571428572,0.501745541280425,0.7404809619238477,0.1142061103511171,0.0196078431372549,0.0474153297682709,0.1142061103511171,0.0241988240196953
-,-,2-cbf-all-channel-middle-platform-anomaly,damp,-1,-1,0.6437875751503006,0.0031066176470588,0.0,0.0043956884030272,0.0031066176470588,0.0026909408484564,0.6227454909819639,0.0026386881171102,0.0,0.004737969676994,0.0026386881171102,0.0027919966828286
-,-,2-cbf-all-channel-middle-platform-anomaly,deepant,-1,-1,0.6608216432865731,0.0639762655336257,0.0196078431372549,0.0068202538747457,0.0639762655336257,0.0038404195363401,0.6503006012024048,0.0422330392125958,0.0196078431372549,0.01872947454844,0.0422330392125958,0.0097373155156507
-,-,2-cbf-all-channel-middle-platform-anomaly,deepnap,-1,-1,0.5736472945891784,0.0199652777777777,0.0,0.0034161135271229,0.0199652777777777,0.0021953861982593,0.3852705410821643,0.0317495419220319,0.0,0.002394843807088,0.0317495419220319,0.0015175243363225
-,-,2-cbf-all-channel-middle-platform-anomaly,encdec_ad,-1,-1,0.310120240480962,0.0014214030101246,0.0,0.0021482462708057,0.0014214030101246,0.0013537651935684,0.5425851703406814,0.006673835125448,0.0,0.003196333186782,0.006673835125448,0.0020398627064652
-,-,2-cbf-all-channel-middle-platform-anomaly,fast_mcd,-1,-1,0.7364729458917836,0.1703125,0.0,0.0060030502943888,0.1703125,0.0036594198840365,0.718937875751503,0.1017857142857142,0.0196078431372549,0.0132867132867132,0.1017857142857142,0.0071250522117574
