id,dataset,model_type,past,coupling_layers,sliding_window,VUS_ROC,AUC_ROC,RANGE_PR_AUC,F,AUC_PR,Precision,Recall,Precision_at_k,Rprecision,Rrecall,RF,R_AUC_ROC,R_AUC_PR,VUS_PR,Affiliation_Precision,Affiliation_Recall
-,2-rw-one-channels-trend-anomaly-no-anomaly,tanogan,-1,-1,125,0.5056670324761435,0.4905555555555556,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5214799664110668,0.10337111981790108,0.07661459994875487,0.3494,0.36199999999999993
-,2-rw-one-channels-trend-anomaly-no-anomaly,dae,-1,-1,125,0.3477452766754676,0.34134444444444445,0.312441410877444,0.0,0.07244884494594447,0.0,0.0,0.0,0.0,0.0,0.0,0.3736766433565565,0.11734869500554737,0.09268695259821345,0.40599999999999997,0.474
-,2-rw-one-channels-trend-anomaly-no-anomaly,telemanom,-1,-1,125,0.4163464872537768,0.33184444444444444,0.0652520347817397,0.0,0.07085602691320417,0.0,0.0,0.0,0.0,0.0,0.0,0.4886384517357727,0.1372786383570319,0.10102785876538439,0.4097185929648241,0.848
-,2-rw-one-channels-trend-anomaly-no-anomaly,copod,-1,-1,125,0.22284918642119533,0.13805555555555554,0.1803347776291731,0.0,0.056989287699198296,0.0,0.0,0.0,0.0,0.0,0.0,0.3216788598429265,0.10512738694266682,0.07837080325256698,0.1523513513513513,0.46399999999999997
-,2-rw-one-channels-trend-anomaly-no-anomaly,kmeans,-1,-1,125,0.8506011419025683,0.8631,0.2703006261698581,0.018691588785046728,0.3493398851935501,0.14285714285714285,0.01,0.01,0.3333333333333333,0.20800000000000002,0.25615763546798026,0.8170417672055229,0.3614283191705724,0.3628459814875561,0.5848367346938774,0.994445
-,2-rw-one-channels-trend-anomaly-no-anomaly,omni,-1,-1,125,0.8913252878474729,0.8244,0.4897979497909546,0.0,0.5932306977590873,0.0,0.0,0.0,0.0,0.0,0.0,0.8958159774796175,0.5946616308669461,0.6031037272543657,0.5386983240223464,1.0
-,2-rw-one-channels-trend-anomaly-no-anomaly,cblof,-1,-1,125,0.8047275445979483,0.8407555555555555,0.4463597537423215,0.35384615384615387,0.5600156322289135,0.7666666666666667,0.23,0.23,0.5,0.384,0.4343891402714932,0.7923939052724934,0.4794470261971107,0.504053833703061,0.6497430555555556,0.9884700000000001
-,2-rw-one-channels-trend-anomaly,hybrid_knn,-1,-1,125,0.12704804768291836,0.05607222222222222,0.0856557065967803,0.0,0.06843599114829126,0.0,0.0,0.0,0.0,0.0,0.0,0.1990458798534622,0.09410307871465806,0.07442280666600228,0.26316793893129764,0.484
-,2-rw-one-channels-trend-anomaly,subsequence_knn,-1,-1,125,0.8295579109269384,0.7941666666666667,0.2044088375200739,0.0,0.2835742754856464,0.0,0.0,0.0,0.0,0.0,0.0,0.83214500525078,0.41743449508927005,0.38019870390026983,0.6462948717948718,0.9551099999999999
-,2-rw-one-channels-trend-anomaly,pca,-1,-1,125,0.24173050462983212,0.21235555555555555,0.1837259222339072,0.0,0.0667052328360366,0.0,0.0,0.0,0.0,0.0,0.0,0.2767137126106265,0.10414469161179972,0.08175217388593237,0.18835714285714283,0.3057025
-,2-rw-one-channels-trend-anomaly,health_esn,-1,-1,125,0.35436154711619505,0.2377,0.1570699013226951,0.0,0.06187295604046063,0.0,0.0,0.0,0.0,0.0,0.0,0.4628057933980651,0.13142862866807886,0.09328167124668614,0.24235655737704911,0.39199999999999996
-,2-rw-one-channels-trend-anomaly,fast_mcd,-1,-1,125,0.4138493371468206,0.2932388888888889,0.0948535472251498,0.0,0.06735601577409892,0.0,0.0,0.0,0.0,0.0,0.0,0.5234434990653829,0.1464289257899357,0.10357387403837645,0.29401923076923075,0.43799999999999994
-,2-rw-one-channels-trend-anomaly,autoencoder,-1,-1,125,0.4191135398075678,0.32075555555555557,0.1315904643873494,0.0,0.07029140164301567,0.0,0.0,0.0,0.0,0.0,0.0,0.5088905748214592,0.1481388943720439,0.10611971920974542,0.5214609004739336,0.95376
-,2-rw-one-channels-trend-anomaly,robust_pca,-1,-1,125,0.5027058768603203,0.41466666666666663,0.228724295499431,0.0,0.0803196563380873,0.0,0.0,0.0,0.0,0.0,0.0,0.599302769767857,0.17048635667198836,0.11981946816935823,0.5386777777777777,0.7878049999999999
-,2-rw-one-channels-trend-anomaly,encdec_ad,-1,-1,125,0.5974245565507134,0.5236055555555555,0.0591075374720379,0.0,0.09703965934772708,0.0,0.0,0.0,0.0,0.0,0.0,0.6683956632013733,0.20444761077171306,0.1416138692234112,0.5877448275862069,0.90396
-,2-rw-one-channels-trend-anomaly,knn,-1,-1,125,0.6219816815617397,0.6618944444444445,0.2944794395563122,0.0,0.1294250063075885,0.0,0.0,0.0,0.0,0.0,0.0,0.5946767721873316,0.16344439667839492,0.14408501831728066,0.29641463414634145,0.48
-,2-rw-one-channels-trend-anomaly,hif,-1,-1,125,0.22466286721133716,0.0860722222222222,0.1388817997061506,0.0,0.053957659446717376,0.0,0.0,0.0,0.0,0.0,0.0,0.3806326714520306,0.11437789304961508,0.0793989276618234,0.35600606060606055,0.758
-,2-rw-one-channels-trend-anomaly,multi_subsequence_lof,-1,-1,125,0.8853222924394277,0.8776666666666666,0.2311114602664332,0.0,0.31597421977703277,0.0,0.0,0.0,0.0,0.0,0.0,0.8894654272542795,0.42097216235176765,0.36853103825872363,0.27361363636363634,0.368
-,2-rw-one-channels-trend-anomaly,hbos,-1,-1,125,0.6070846868814403,0.6176444444444444,0.2121161715829786,0.0,0.17173869866219993,0.0,0.0,0.0,0.0,0.0,0.0,0.5851707613016103,0.18343277263635455,0.17121114716284794,0.3758834688346883,0.9868600000000001
-,2-rw-one-channels-trend-anomaly,random_black_forest,-1,-1,125,0.3369567844260266,0.2737777777777778,0.1064599574082523,0.0,0.06743264209961299,0.0,0.0,0.0,0.0,0.0,0.0,0.41471840629406465,0.12165253442617567,0.09207908042386606,0.4727633802816901,0.816
-,2-rw-one-channels-trend-anomaly,mstamp,-1,-1,125,0.7639868178867559,0.6497666666666666,0.1400272827683756,0.0,0.12470095263519863,0.0,0.0,0.0,0.0,0.0,0.0,0.7905372717563541,0.3787220555473849,0.2812011323975551,0.557574074074074,0.9792350000000001
-,2-rw-one-channels-trend-anomaly,deepnap,-1,-1,125,0.3972580762886453,0.2279111111111111,0.0655818511818865,0.0,0.062001365488560535,0.0,0.0,0.0,0.0,0.0,0.0,0.5559042490063786,0.15169706823201878,0.10100951654944987,0.35417592592592595,0.436
-,2-rw-one-channels-trend-anomaly,lstm_ad,-1,-1,125,0.3614319956183073,0.22441111111111112,0.160482918494754,0.0,0.06328305110290462,0.0,0.0,0.0,0.0,0.0,0.0,0.4881365334280381,0.13715486174769476,0.09537405880267813,0.5324901960784314,0.72
-,2-rw-one-channels-trend-anomaly,cof,-1,-1,125,0.6864780310373552,0.7636888888888889,0.3281578372068941,0.14814814814814814,0.35779997510045614,1.0,0.08,0.08,1.0,0.264,0.4177215189873418,0.6895636365427289,0.33689451293414363,0.3229670308634795,0.6002197802197801,0.98962
-,2-rw-one-channels-trend-anomaly,iforest,-1,-1,125,0.45040767401282933,0.4197944444444444,0.1714141775909316,0.0,0.08012014160739112,0.0,0.0,0.0,0.0,0.0,0.0,0.5052481385567336,0.1390199871646007,0.10551460155247296,0.2593653846153846,0.44
-,2-rw-one-channels-trend-anomaly,gdn,-1,-1,125,0.5281823944561095,0.5208111111111111,0.2158495860145097,0.0,0.15316716745859688,0.0,0.0,0.0,0.0,0.0,0.0,0.5582848831061975,0.18543811866092347,0.16218218666728182,0.4094423076923077,0.9843299999999999
-,2-rw-one-channels-trend-anomaly,deepant,-1,-1,125,0.5899593435541939,0.6177000000000001,0.2929454770060929,0.0,0.23041824372262631,0.0,0.0,0.0,0.0,0.0,0.0,0.5504649990339576,0.21841633428928992,0.22166906997269667,0.6630759493670886,0.97152
