id,dataset,model_type,past,coupling_layers,sliding_window,VUS_ROC,AUC_ROC,RANGE_PR_AUC,F,AUC_PR,Precision,Recall,Precision_at_k,Rprecision,Rrecall,RF,R_AUC_ROC,R_AUC_PR,VUS_PR,Affiliation_Precision,Affiliation_Recall
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,multi_subsequence_lof,-1,-1,125,0.9981502609169581,0.9998521021242012,0,0.19004524886877827,0.32002924444595704,0.105,1.0,1.0,0.07291666666666667,1.0,0.13592233009708737,0.9982308180118594,0.06070545050704768,0.04061142891574934,0.9995391592106876,0.9999806173725772
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,hbos,-1,-1,125,0.7188880927446972,0.718236597831932,0,0.0,0.0003707168958638586,0.0,0.0,0.0,0.0,0.0,0.0,0.7189847824291522,0.0011275287273448031,0.0006551909182967299,0.5841237102678707,1.0
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,torsk,-1,-1,125,0.9986609075487803,0.9985425597676137,0,0.0,0.03494176372712146,0.0,0.0,0.0,0.0,0.0,0.0,0.9987490167823068,0.5859357349448089,0.5567111610035521,0.49577743654751066,1.0
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,mstamp,-1,-1,125,0.996964905357679,0.999921264723078,0,0.03598971722365039,0.3998344100844758,0.01832460732984293,1.0,1.0,0.004475703324808185,1.0,0.008911521323997456,0.9890291663257207,0.035078943976944534,0.028392906880863576,0.7020654425976035,0.9999997607083034
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,deepnap,-1,-1,125,0.399596141604903,0.3989530840655834,0,0.0,9.195887693544207e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.39958512994967055,0.00034696974637264715,0.0002312351671271692,0.8422613065326633,0.8796331658291456
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,iforest,-1,-1,125,0.5527351851979398,0.5423738183426392,0,0.0,0.00011920992338927545,0.0,0.0,0.0,0.0,0.0,0.0,0.5566239547782291,0.0004182560091407555,0.0002661221808245716,0.6261280350325601,0.970427135678392
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,gdn,-1,-1,125,0.7082867097290577,0.6954957438676826,0,0.0,0.0001766591454073299,0.0,0.0,0.0,0.0,0.0,0.0,0.7138357195210099,0.000644772028117206,0.00040584739492222077,0.5196452112773616,0.7425276381909547
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,deepant,-1,-1,125,0.5719698300256134,0.5652173392789237,0,0.0,0.00012704672363190046,0.0,0.0,0.0,0.0,0.0,0.0,0.5801515883730233,0.0004919908010901697,0.00031686603027937077,0.7178494298601831,0.8913919597989949
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,damp,-1,-1,125,0.38927556900835764,0.3796009581293456,0,0.0,8.878455398043011e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.39892730700110085,0.0003065788498564213,0.00019485738190439756,0.4500996546909886,0.9909798994974873
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,pcc,-1,-1,125,0.25812975687482,0.25009578660969006,0,0.0,7.311805604402505e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.261958642757962,0.0002515647637448065,0.00016027983186599863,0.5778865929073751,0.8965678391959799
