dataset,model_type,past,coupling_layers,channels,hidden_multiplier,st_net_layers,encoder_layers,encoder_size,normalized,z_score,time_features,AUC_ROC,AUC_PR,Precision,Recall,F,Precision_at_k,Rprecision,Rrecall,RF,R_AUC_ROC,R_AUC_PR,VUS_ROC,VUS_PR,Affiliation_Precision,Affiliation_Recall,sliding_window,dataset_full,path
smd_machine-2-2,tcNF-base,4,16,38,7,5,0,0,True,False,,0.6696313916156971,0.1706975317273317,0.1768985530940897,0.7638545711260148,0.2872693482012478,0.7638545711260148,0.0906639472784352,0.612111038728013,0.1579350547438966,0.7599222403347159,0.3008953879281051,0.7209574613401553,0.2343117798327418,0.7272267206477733,0.0939355242919439,125.0,smd_machine-2-2,../results/TFselfopt-real/run-20241119_112946-wwxy8ynh
smd_machine-2-2,tcNF-cnn,70,11,38,13,4,2,5,True,False,,0.6778235106198566,0.171142093403142,0.1816759252014709,0.8196258383339217,0.2974253874727808,0.8196258383339217,0.0805182593777023,0.6775179346480575,0.1439312930569213,0.7686482368413017,0.2866864725316212,0.7311572525958474,0.2269294448409248,0.54897176716626,0.0499698976520168,125.0,smd_machine-2-2,../results/TFselfopt-real/run-20241121_072858-n7394p5s
smd_machine-2-2,tcNF-mlp,29,17,38,19,5,8,0,True,False,,0.6611128409518682,0.1737474116152839,0.1751015307716338,0.7913872220261208,0.2867557715674362,0.7913872220261208,0.0877369430371386,0.6781809278654153,0.1553731116546098,0.7561818393924923,0.3058267622015554,0.7162071707490558,0.2417087618504649,1.0,0.0908773514655077,125.0,smd_machine-2-2,../results/TFselfopt-real/run-20241123_172534-7vxz1r4g
smd_machine-2-2,tcNF-stateless,14,19,38,17,3,5,0,True,False,,0.7095335484681833,0.2020954800583424,0.2016016016016016,0.7109071655488881,0.3141230601263355,0.7109071655488881,0.1061650048093346,0.7146727669374575,0.1848678029948667,0.792951411738478,0.3416476914017525,0.7587491136428162,0.2725643337288266,1.0,0.2693970066998863,125.0,smd_machine-2-2,../results/TFselfopt-real/run-20241127_200229-js1fig5z
smd_machine-2-3,RealNVP,1,18,38,3,4,0,0,True,False,,0.745563407591237,0.0347729018532227,0.0254298363018634,0.9182156133828996,0.0494890803446203,0.9182156133828996,0.0184150822415504,0.7167439967439968,0.0359076015612607,0.7339851319657735,0.0639800393842448,0.7373387102985134,0.046748382764413,1.0,0.0991002832238018,137.0,smd_machine-2-3,../results/TFselfopt-real/run-20241114_043423-czn2e7xs
smd_machine-2-3,tcNF-base,5,17,38,13,3,0,0,True,False,,0.6993107236930939,0.0546058140788697,0.025323968740726,0.9516728624535316,0.0493351320100211,0.9516728624535316,0.0104110112664831,0.865350698684032,0.0205744913738408,0.7188317024854257,0.0653701991172066,0.708719404816243,0.0473685462924032,1.0,0.0998847395112955,137.0,smd_machine-2-3,../results/TFselfopt-real/run-20241119_124107-jmsj76dc
smd_machine-2-3,tcNF-cnn,46,19,38,10,5,5,4,True,False,,0.7966768008792231,0.0829675130581413,0.0295932502203752,0.8736059479553904,0.0572472594397076,0.8736059479553904,0.0156062183305773,0.7032068918735586,0.0305347805440799,0.7569818495462896,0.0804955949769734,0.7724144342451232,0.0685721153472194,1.0,0.0997925311203319,137.0,smd_machine-2-3,../results/TFselfopt-real/run-20241121_151606-s340zyl7
smd_machine-2-3,tcNF-mlp,18,18,38,9,3,4,0,True,False,,0.768499959587496,0.0441502503986563,0.0245576718553611,0.9442379182156134,0.04787033546928,0.9442379182156134,0.0105875284917122,0.778719305385972,0.0208910210299737,0.7457629023433261,0.0733182235288622,0.7523439385140371,0.055057794118121,0.9535269709543568,0.2865982134758431,137.0,smd_machine-2-3,../results/TFselfopt-real/run-20241124_132444-e1r3hz0t
smd_machine-2-3,tcNF-stateless,55,18,38,10,5,10,0,True,False,,0.839980353305719,0.2178183025058946,0.0372420734776044,0.8252788104089219,0.0712680577849117,0.8252788104089219,0.0190367895046257,0.5815045448378783,0.0368666700625419,0.7701925793450443,0.1216825806780682,0.7983081568343354,0.1303929592055742,1.0,0.0999735868991019,137.0,smd_machine-2-3,../results/TFselfopt-real/run-20241128_023353-hwo3cde5
smd_machine-2-4,RealNVP,1,14,38,3,3,0,0,True,False,,0.7987253607536413,0.3279866492752002,0.162981890901011,0.8659976387249114,0.2743338008415147,0.8659976387249114,0.074751534795068,0.5274590033273027,0.13094546688979,0.7536575182218684,0.2386743708045036,0.755253175794261,0.2043762434665614,1.0,0.044594955909196,125.0,smd_machine-2-4,../results/TFselfopt-real/run-20241114_061901-madjgg1j
smd_machine-2-4,tcNF-base,3,16,38,10,3,0,0,True,False,,0.7149388558741059,0.3109773246390647,0.1290624269347673,0.6517119244391971,0.2154566744730679,0.6517119244391971,0.1154387861791307,0.5453868708255742,0.1905458654602159,0.7038247559249734,0.2233980146485171,0.691848860504158,0.1879017931294754,1.0,0.0435900797833594,125.0,smd_machine-2-4,../results/TFselfopt-real/run-20241119_092511-mm26wa25
smd_machine-2-4,tcNF-cnn,45,19,38,6,3,1,6,True,False,,0.7383239347164705,0.3376476219174313,0.1164929990231195,0.8447461629279811,0.2047503219344684,0.8447461629279811,0.0730695059152164,0.6297358458458784,0.1309451813300959,0.7318998060004811,0.307103331269533,0.7288751163821062,0.290680801841558,1.0,0.0440835197230291,125.0,smd_machine-2-4,../results/TFselfopt-real/run-20241122_010452-progtr7x
smd_machine-2-4,tcNF-mlp,17,17,38,6,3,3,0,True,False,,0.7381564970817318,0.3522487701256072,0.3057553956834532,0.4014167650531287,0.3471158754466564,0.4014167650531287,0.0838520977846287,0.0759208133033027,0.0796895971619803,0.6862920158158892,0.2312810634095976,0.6731319890542485,0.1940819740311376,1.0,0.0433940920893642,125.0,smd_machine-2-4,../results/TFselfopt-real/run-20241123_214151-1ip4eftm
smd_machine-2-4,tcNF-stateless,90,19,38,2,3,1,0,True,False,,0.780172234817343,0.3901422581464164,0.1654830497119121,0.7290436835891382,0.2697389974882603,0.7290436835891382,0.1117804731457327,0.5382073299297992,0.1851144581648816,0.7367246428369154,0.2643889447380008,0.7307655445996862,0.2286075358914614,1.0,0.0446995912281152,125.0,smd_machine-2-4,../results/TFselfopt-real/run-20241127_233126-440hgfl5
smd_machine-2-5,RealNVP,1,9,38,4,3,0,0,True,False,,0.8288123757517805,0.3651221357962328,0.1498798339523705,0.7,0.2468958070901565,0.7,0.1149554012420714,0.573485695237104,0.1915204613429517,0.8232871217274251,0.3950193233735742,0.8359045225872994,0.3662496673120404,1.0,0.1246710723222939,125.0,smd_machine-2-5,../results/TFselfopt-real/run-20241114_134530-cxmfhp7p
smd_machine-2-5,tcNF-base,3,9,38,6,4,0,0,True,False,,0.8687522341739242,0.3860069107328738,0.158976425549063,0.8051020408163265,0.265522463402322,0.8051020408163265,0.1084417475876771,0.6187646714646488,0.1845416117382023,0.8421184744608552,0.4192550371105664,0.8632648970911942,0.3832190308115976,1.0,0.0429908483157006,125.0,smd_machine-2-5,../results/TFselfopt-real/run-20241119_135351-oulp81d2
smd_machine-2-5,tcNF-cnn,76,17,38,1,4,5,5,True,False,,0.8119366270924506,0.3176621828232379,0.1061717738454898,0.753061224489796,0.1861051569789434,0.753061224489796,0.0851487600251758,0.6112779576764696,0.149476057721185,0.807469408339832,0.3810609755710766,0.8181151553018129,0.3366106484205624,1.0,0.0428887302308474,125.0,smd_machine-2-5,../results/TFselfopt-real/run-20241122_005628-58tj4w63
smd_machine-2-5,tcNF-mlp,3,13,38,6,4,3,0,True,False,,0.8514999205627048,0.3388837065917194,0.130041598842467,0.7336734693877551,0.2209248732524197,0.7336734693877551,0.113314578729259,0.6232473046062723,0.1917639437050111,0.8315191201701845,0.3827346230012414,0.8459981805021107,0.3432154762375871,1.0,0.0428947880833387,125.0,smd_machine-2-5,../results/TFselfopt-real/run-20241124_123203-qtk4tpcl
smd_machine-2-5,tcNF-stateless,77,19,38,2,4,7,0,True,False,,0.7627755932521629,0.3390223510335795,0.2546652030735455,0.473469387755102,0.331192005710207,0.473469387755102,0.1650740744366242,0.5318191506741349,0.2519454943797216,0.8250784639781954,0.4031199423706533,0.807942092596382,0.3602988943998006,1.0,0.0428947880833387,125.0,smd_machine-2-5,../results/TFselfopt-real/run-20241128_003733-u6irzbrx
smd_machine-2-6,RealNVP,1,17,38,12,4,0,0,True,False,,0.8682127808567655,0.2969736880442277,0.0616335393352263,0.8702830188679245,0.1151146467009826,0.8702830188679245,0.0172927992679204,0.7391696257443088,0.0337949686337257,0.8971323324455656,0.2226640797477768,0.8942263685439212,0.2075420861055446,1.0,0.3738489713453685,125.0,smd_machine-2-6,../results/TFselfopt-real/run-20241114_234952-rmx5ppcv
smd_machine-2-6,tcNF-base,4,17,38,10,4,0,0,True,False,,0.8686429075780613,0.3189670819564358,0.0662603224537947,0.7948113207547169,0.1223230490018148,0.7948113207547169,0.0417883248004832,0.7361220066966896,0.0790870213779557,0.8997871998044097,0.2367274680660418,0.8965854899363291,0.2381141025957846,1.0,0.2480615527083085,125.0,smd_machine-2-6,../results/TFselfopt-real/run-20241120_015620-wqc8m41b
smd_machine-2-6,tcNF-cnn,10,13,38,17,4,2,7,True,False,,0.8729490459722618,0.3170021216592319,0.0477921378567582,0.8372641509433962,0.0904228222109016,0.8372641509433962,0.0211923115178122,0.7350291736871972,0.0411968385670405,0.9038737125432484,0.2537232784161047,0.8978615798526153,0.2320460597763825,0.9972134810280242,0.4981245334929636,125.0,smd_machine-2-6,../results/TFselfopt-real/run-20241122_021730-bowjw572
smd_machine-2-6,tcNF-mlp,7,15,38,9,3,20,0,True,False,,0.8640273520715399,0.3661087992232161,0.0660776027660391,0.8113207547169812,0.122202486678508,0.8113207547169812,0.0239279981672489,0.7347569273316104,0.0463466765179339,0.906957970886034,0.2911428645095723,0.9033002558147736,0.292492840210933,1.0,0.1245986475250173,125.0,smd_machine-2-6,../results/TFselfopt-real/run-20241124_090722-ng3rxdtt
smd_machine-2-6,tcNF-stateless,41,18,38,8,4,2,0,True,False,,0.8592723833442323,0.2312487233675685,0.0646051905024848,0.8278301886792453,0.1198565818678504,0.8278301886792453,0.0185286865712302,0.7779695970148683,0.036195319241957,0.9038831801087612,0.1908822492035991,0.8963181282514763,0.1757591004859659,1.0,0.2495131204870196,125.0,smd_machine-2-6,../results/TFselfopt-real/run-20241128_180737-f5cwkw48
smd_machine-2-7,RealNVP,1,20,38,5,3,0,0,True,False,,0.9319545652248712,0.8208004167175951,0.4589743589743589,0.8585131894484412,0.5981620718462823,0.8585131894484412,0.0981637473550642,0.5233167701863354,0.1653172827314497,0.7997890380722544,0.3950203867166456,0.8431586319911812,0.4777374044491965,1.0,0.036655643218217,125.0,smd_machine-2-7,../results/TFselfopt-real/run-20241114_113010-dgih21n7
smd_machine-2-7,tcNF-base,3,8,38,8,3,0,0,True,False,,0.9449854043764728,0.7957319389693648,0.387027027027027,0.8585131894484412,0.533532041728763,0.8585131894484412,0.0615716427727632,0.4992919254658385,0.1096246068207069,0.7741122256759367,0.3906529461995334,0.8301630698667132,0.4896727682110323,1.0,0.0366112344687485,125.0,smd_machine-2-7,../results/TFselfopt-real/run-20241119_232848-v4768lx5
smd_machine-2-7,tcNF-cnn,28,20,38,6,4,3,3,True,False,,0.9327454422690168,0.7495432768769171,0.38272921108742,0.8609112709832134,0.529889298892989,0.8609112709832134,0.054360664670004,0.5246211180124224,0.0985134715049178,0.7748037655024442,0.3709309455490192,0.8319885492809195,0.4714596987388454,1.0,0.0366112344687485,125.0,smd_machine-2-7,../results/TFselfopt-real/run-20241122_023055-iwjrk0af
smd_machine-2-7,tcNF-mlp,12,16,38,8,4,3,0,True,False,,0.9244824176899742,0.818658962059601,0.3888888888888889,0.8561151079136691,0.5348314606741573,0.8561151079136691,0.0578255691447941,0.5140414078674949,0.1039568227185476,0.756214333241302,0.3845121089723293,0.8137591663681472,0.470539928342631,1.0,0.0366112344687485,125.0,smd_machine-2-7,../results/TFselfopt-real/run-20241124_035412-zc4ge4xe
smd_machine-2-7,tcNF-stateless,45,13,38,5,4,1,0,True,False,,0.954479491736665,0.8161992886077597,0.379746835443038,0.8633093525179856,0.5274725274725275,0.8633093525179856,0.0643581556989169,0.5379544513457557,0.1149627483592344,0.7712797109543732,0.3991319076011371,0.8319723606339456,0.4951043329334361,1.0,0.0371312892710351,125.0,smd_machine-2-7,../results/TFselfopt-real/run-20241128_170742-a0w8zno5
smd_machine-2-8,RealNVP,1,20,38,23,5,0,0,True,False,,0.9850259927110122,0.9276955302505928,0.434402332361516,0.9254658385093169,0.5912698412698413,0.9254658385093169,0.1428571428571428,0.3850931677018633,0.2084033613445378,0.9283756429630852,0.6785220344585164,0.954849289815908,0.7758903666115463,1.0,0.9960136498164844,125.0,smd_machine-2-8,../results/TFselfopt-real/run-20241114_183418-uim2dq2f
smd_machine-2-8,tcNF-base,23,9,38,15,3,0,0,True,False,,0.8861680216830892,0.0798602757025532,0.0264854504269036,0.9440993788819876,0.0515254237288135,0.9440993788819876,0.0292521628239645,0.351055900621118,0.0540043472770877,0.9041079561800798,0.0705502536898724,0.8960062333269271,0.0645413144712598,1.0,0.9967995395694964,125.0,smd_machine-2-8,../results/TFselfopt-real/run-20241119_171232-hgbxjhkg
smd_machine-2-8,tcNF-cnn,63,19,38,4,3,2,7,True,False,,0.9787405991678328,0.9277228464062276,0.5263157894736842,0.9316770186335404,0.672645739910314,0.9316770186335404,0.1446280991735537,0.3863354037267081,0.2104662741572164,0.9480545677088148,0.7374504156584623,0.964859152140264,0.8301268215190774,1.0,0.9965425606104548,125.0,smd_machine-2-8,../results/TFselfopt-real/run-20241122_060805-7b3c94v3
smd_machine-2-8,tcNF-mlp,1,19,38,22,3,8,0,True,False,,0.9866568662806396,0.8044077936100283,0.136443661971831,0.9627329192546584,0.2390131071703932,0.9627329192546584,0.0469820403628957,0.5850931677018634,0.0869797469360865,0.9905488209484654,0.7526358221047232,0.989565189275821,0.7891624079007843,1.0,0.9967338803270172,125.0,smd_machine-2-8,../results/TFselfopt-real/run-20241124_084810-d0ocpz0f
